variable	Diss	SITE	Habitats	Sim	Site
DU_Gsed	0.79	DU	Gill-Sed	0.21	DU1
DU_Gsed	0.79	DU	Gill-Sed	0.21	DU1
DU_Gsed	0.791	DU	Gill-Sed	0.209	DU1
DU_Gsed	0.791	DU	Gill-Sed	0.209	DU1
DU_Gsed	0.791	DU	Gill-Sed	0.209	DU1
DU_Gsed	0.793	DU	Gill-Sed	0.207	DU1
DU_Gsed	0.793	DU	Gill-Sed	0.207	DU1
DU_Gsed	0.793	DU	Gill-Sed	0.207	DU1
DU_Gsed	0.795	DU	Gill-Sed	0.205	DU1
DU_Gsed	0.796	DU	Gill-Sed	0.204	DU1
DU_Gsed	0.797	DU	Gill-Sed	0.203	DU1
DU_Gsed	0.797	DU	Gill-Sed	0.203	DU1
DU_Gsed	0.797	DU	Gill-Sed	0.203	DU1
DU_Gsed	0.797	DU	Gill-Sed	0.203	DU1
DU_Gsed	0.797	DU	Gill-Sed	0.203	DU1
DU_Gsed	0.799	DU	Gill-Sed	0.201	DU1
DU_Gsed	0.799	DU	Gill-Sed	0.201	DU1
DU_Gsed	0.799	DU	Gill-Sed	0.201	DU1
DU_Gsed	0.8	DU	Gill-Sed	0.2	DU1
DU_Gsed	0.8	DU	Gill-Sed	0.2	DU1
DU_Gsed	0.801	DU	Gill-Sed	0.199	DU1
DU_Gsed	0.801	DU	Gill-Sed	0.199	DU1
DU_Gsed	0.801	DU	Gill-Sed	0.199	DU1
DU_Gsed	0.801	DU	Gill-Sed	0.199	DU1
DU_Gsed	0.801	DU	Gill-Sed	0.199	DU1
DU_Gsed	0.802	DU	Gill-Sed	0.198	DU1
DU_Gsed	0.802	DU	Gill-Sed	0.198	DU1
DU_Gsed	0.802	DU	Gill-Sed	0.198	DU1
DU_Gsed	0.802	DU	Gill-Sed	0.198	DU1
DU_Gsed	0.802	DU	Gill-Sed	0.198	DU1
DU_Gsed	0.803	DU	Gill-Sed	0.197	DU1
DU_Gsed	0.804	DU	Gill-Sed	0.196	DU1
DU_Gsed	0.804	DU	Gill-Sed	0.196	DU1
DU_Gsed	0.804	DU	Gill-Sed	0.196	DU1
DU_Gsed	0.804	DU	Gill-Sed	0.196	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.805	DU	Gill-Sed	0.195	DU1
DU_Gsed	0.806	DU	Gill-Sed	0.194	DU1
DU_Gsed	0.806	DU	Gill-Sed	0.194	DU1
DU_Gsed	0.807	DU	Gill-Sed	0.193	DU1
DU_Gsed	0.807	DU	Gill-Sed	0.193	DU1
DU_Gsed	0.807	DU	Gill-Sed	0.193	DU1
DU_Gsed	0.807	DU	Gill-Sed	0.193	DU1
DU_Gsed	0.807	DU	Gill-Sed	0.193	DU1
DU_Gsed	0.808	DU	Gill-Sed	0.192	DU1
DU_Gsed	0.808	DU	Gill-Sed	0.192	DU1
DU_Gsed	0.808	DU	Gill-Sed	0.192	DU1
DU_Gsed	0.808	DU	Gill-Sed	0.192	DU1
DU_Gsed	0.809	DU	Gill-Sed	0.191	DU1
DU_Gsed	0.809	DU	Gill-Sed	0.191	DU1
DU_Gsed	0.809	DU	Gill-Sed	0.191	DU1
DU_Gsed	0.809	DU	Gill-Sed	0.191	DU1
DU_Gsed	0.809	DU	Gill-Sed	0.191	DU1
DU_Gsed	0.809	DU	Gill-Sed	0.191	DU1
DU_Gsed	0.809	DU	Gill-Sed	0.191	DU1
DU_Gsed	0.81	DU	Gill-Sed	0.19	DU1
DU_Gsed	0.81	DU	Gill-Sed	0.19	DU1
DU_Gsed	0.81	DU	Gill-Sed	0.19	DU1
DU_Gsed	0.811	DU	Gill-Sed	0.189	DU1
DU_Gsed	0.811	DU	Gill-Sed	0.189	DU1
DU_Gsed	0.811	DU	Gill-Sed	0.189	DU1
DU_Gsed	0.812	DU	Gill-Sed	0.188	DU1
DU_Gsed	0.812	DU	Gill-Sed	0.188	DU1
DU_Gsed	0.813	DU	Gill-Sed	0.187	DU1
DU_Gsed	0.813	DU	Gill-Sed	0.187	DU1
